Date,Package,Title,year
2017-11-24,ANN2,Artificial Neural Networks for Anomaly Detection,2017
2017-11-24,Aoptbdtvc,"A-Optimal Block Designs for Comparing Test Treatments with
Controls",2017
2017-11-24,cctools,"Tools for the Continuous Convolution Trick in Nonparametric
Estimation",2017
2017-11-24,covTestR,Covariance Matrix Tests,2017
2017-11-24,DLMtool,Data-Limited Methods Toolkit,2017
2017-11-24,fDMA,"Dynamic Model Averaging and Dynamic Model Selection for
Continuous Outcomes",2017
2017-11-24,fmriqa,Functional MRI Quality Assurance Routines,2017
2017-11-24,galts,"Genetic Algorithms and C-Steps Based LTS (Least Trimmed Squares)
Estimation",2017
2017-11-24,GFGM.copula,Generalized Farlie-Gumbel-Morgenstern Copula,2017
2017-11-24,gpHist,Gaussian Process with Histogram Intersection Kernel,2017
2017-11-24,LAM,Some Latent Variable Models,2017
2017-11-24,lime,Local Interpretable Model-Agnostic Explanations,2017
2017-11-24,loa,Lattice Options and Add-Ins,2017
2017-11-24,packcircles,Circle Packing,2017
2017-11-24,qle,Simulation-Based Quasi-Likelihood Estimation,2017
2017-11-24,RcppThread,R-Friendly Threading in C++,2017
2017-11-24,reticulate,R Interface to Python,2017
2017-11-24,STARTS,Functions for the STARTS Model,2017
2017-11-24,SteinerNet,Steiner Tree Approach for Graph Analysis,2017
2017-11-24,tmap,Thematic Maps,2017
2017-11-24,tmaptools,Thematic Map Tools,2017
2017-11-24,unitizer,Interactive R Unit Tests,2017
2017-11-24,vdmR,Visual Data Mining Tools,2017
2017-11-23,adjustedcranlogs,"Remove Automated and Repeated Downloads from 'RStudio' 'CRAN'
Download Logs",2017
2017-11-23,BinaryEPPM,Mean and Variance Modeling of Binary Data,2017
2017-11-23,bioinactivation,Simulation of Dynamic Microbial Inactivation,2017
2017-11-23,boclust,A Clustering Method Based on Boosting on Single Attributes,2017
2017-11-23,Compositional,Compositional Data Analysis,2017
2017-11-23,CopulaDTA,"Copula Based Bivariate Beta-Binomial Model for Diagnostic Test
Accuracy Studies",2017
2017-11-23,CorporaCoCo,Corpora Co-Occurrence Comparison,2017
2017-11-23,d3r,'d3.js' Utilities for R,2017
2017-11-23,distcrete,Discrete Distribution Approximations,2017
2017-11-23,ecospat,Spatial Ecology Miscellaneous Methods,2017
2017-11-23,embryogrowth,Tools to Analyze the Thermal Reaction Norm of Embryo Growth,2017
2017-11-23,entropart,Entropy Partitioning to Measure Diversity,2017
2017-11-23,forega,"Floating-Point Genetic Algorithms with Statistical Forecast
Based Inheritance Operator",2017
2017-11-23,hms,Pretty Time of Day,2017
2017-11-23,iClick,A Button-Based GUI for Financial and Economic Data Analysis,2017
2017-11-23,IDCard,Update Chinese ID Card Number to Eighteen Digits,2017
2017-11-23,JMcmprsk,"Joint Models for Longitudinal Measurements and Competing Risks
Failure Time Data",2017
