"";"text";"restaurante";"text_clean"
"1";"se virem black friday de mc donalds ou burger king, até mesmo sorveteria, me avisem tabom";"Lanchonete1";"se virem black friday de   ou  até mesmo sorveteria me avisem tabom"
"2";"nem mc donalds e nem bk , o negócio é comer todos e ainda acrescentar o subway";"Lanchonete1";"nem   e nem   o negócio é comer todos e ainda acrescentar o "
"3";"como eu queria ir no mc donalds hj";"Lanchonete1";"como eu queria ir no   hj"
"4";"almocei no bobs 13 horas e agora minha mãe me trouxe pro mc donalds, amo ser gorda";"Lanchonete1";"almocei no   horas e agora minha mãe me trouxe pro   amo ser gorda"
"5";"a meta de hoje é ir ao kfc pra ganhar 2 baldes com 8 frangos cada e no mc donalds pra pegar o refil de batata frita";"Lanchonete1";"a meta de hoje é ir ao  pra ganhar  baldes com  frangos cada e no   pra pegar o refil de batata frita"
"6";"depois de um rolê no shopping, posso dizer q o black friday é só pra comida. amém mc donalds e concorrentes";"Lanchonete1";"depois de um rolê no shopping posso dizer q o black friday é só pra comida amém   e concorrentes"
"7";"nada melhor que comemorar esse eventozao chamado adeus ensino médio com promoção sa black friday no bk e no mc donalds";"Lanchonete1";"nada melhor que comemorar esse eventozao chamado adeus ensino médio com promoção sa black friday no  e no  "
"8";"eu nem queria muito desse black friday... só um combo do mc donalds ou burguer king já me faria chorar de felicidade! mas cadê o famoso $$$";"Lanchonete1";"eu nem queria muito desse black friday só um combo do   ou burguer  já me faria chorar de felicidade mas cadê o famoso $$$"
"9";"#blackfryday fui no mc donalds e comprei uma mc oferta média esperando ganhar o refil da black friday, mas não tinha o refil só ganhava uma nova batata na caixinha vermelha... 😣 
eu não queria outra batata só queria o refil black";"Lanchonete1";"#blackfryday fui no   e comprei uma  oferta média esperando ganhar o refil da black friday mas não tinha o refil só ganhava uma nova batata na caixinha vermelha 😣 
eu não queria outra batata só queria o refil black"
"10";"qria almoçar algo diferente, pensei em ir no mc donalds, mas fiquei com preguiça, cheguei no refeitório da empresa e tinha pastel pro almoço, acho ao pessoal do restaurante adivinhou minha vontade hehehehe";"Lanchonete1";"qria almoçar algo diferente pensei em ir no   mas fiquei com preguiça cheguei no refeitório da empresa e tinha pastel pro almoço acho ao pessoal do restaurante adivinhou minha vontade hehehehe"
"11";"minha mãe me liga pra dizer que desceu em madureira e que viu que o mc donalds tem refil de batata frita";"Lanchonete1";"minha mãe me liga pra dizer que desceu em madureira e que viu que o   tem refil de batata frita"
"12";"meu deus do céu acho q nunca comi tanta batata frita na minha vida, obrigada mc donalds";"Lanchonete1";"meu deus do céu acho q nunca comi tanta batata frita na minha vida obrigada  "
"13";"vim pra black friday do mc donalds jurando que ia comer batata frita até dizer chega. não consegui nem terminar meu lanche normal e já to passando mal. que saco!";"Lanchonete1";"vim pra black friday do   jurando que ia comer batata frita até dizer chega não consegui nem terminar meu lanche normal e já to passando mal que saco"
"14";"mc donalds pisa no burguer king.... aceita!!!! 🍟❤️";"Lanchonete1";"  pisa no burguer  aceita 🍟❤️"
"15";"amassei essa batata do black friday do mc donalds kkkkkkk";"Lanchonete1";"amassei essa batata do black friday do   kkkkkkk"
"16";"oi migas podem me chamar pra comer mc donalds viu bjs";"Lanchonete1";"oi migas podem me chamar pra comer   viu bjs"
"17";"porra de mc donalds e bk o que

vamo comprar 2kg de batata por 12 conto que eh mt mais vantagem";"Lanchonete1";"porra de   e  o que

vamo comprar kg de batata por  conto que eh mt mais vantagem"
"18";"@mota97fm @bentocaipira @sombra97fm @benja97 @domenico97fm @mano97fm @rg0297 @ba97fm @ale_espn @ze97fm @vieira1903 @marcao97fm ✌️👏#18anosestadio97 #estadio97 passei agora `pouco pelo mc donalds da radial, estão mondando o palco onde farão o estádio 97 hoje!";"Lanchonete1";"motafm bentocaipira sombrafm benja domenicofm manofm rg bafm aleespn zefm vieira marcaofm ✌️👏#anosestadio #estadio passei agora `pouco pelo   da radial estão mondando o palco onde farão o estádio  hoje"
"19";"vai ter brinquedo de pokemon no mc donalds em dezembro?";"Lanchonete1";"vai ter brinquedo de pokemon no   em dezembro"
"20";"nao peguei o refil de batata no mc donalds pq minha mae jogo a nota no lixo";"Lanchonete1";"nao peguei o refil de batata no   pq minha mae jogo a nota no lixo"
"21";"@prrvieira_1 mc donalds é melhor....q comece a treta";"Lanchonete1";"prrvieira   é melhorq comece a treta"
"22";"gnt vcs me perdoe mas mc donalds eh o melhor de todos fodase";"Lanchonete1";"gnt vcs me perdoe mas   eh o melhor de todos fodase"
"23";"esse black friday do mc donalds e do bk vem logo quando estou fazendo dieta, nego atenta";"Lanchonete1";"esse black friday do   e do  vem logo quando estou fazendo dieta nego atenta"
"24";"mc donalds com refil de batata frita e meu vr recarregou, coincidência né mores";"Lanchonete1";"  com refil de batata frita e meu vr recarregou coincidência né mores"
