longitude,latitude,attacktype1_txt
4.89236,44.93348,Unarmed Assault
-6.276561,54.356102,Facility/Infrastructure Attack
8.694832,50.029388,Armed Assault
2.355603,48.888876,Armed Assault
12.440992,43.089292,Bombing/Explosion
38.029633,48.3071,Hostage Taking (Kidnapping)
-5.951876,54.613912,Armed Assault
2.701303,48.405407,Facility/Infrastructure Attack
2.795174,48.377975,Facility/Infrastructure Attack
5.375662,43.293705,Armed Assault
-5.954853,54.586075,Facility/Infrastructure Attack
1.254633,52.796163,Facility/Infrastructure Attack
-6.362247,53.711157,Facility/Infrastructure Attack
37.50403,47.942286,Armed Assault
12.939799,57.721185,Facility/Infrastructure Attack
13.758394,50.765615,Unarmed Assault
-6.766874,54.508059,Facility/Infrastructure Attack
-5.89794,54.60178,Bombing/Explosion
7.353197,51.443893,Facility/Infrastructure Attack
7.353185,51.443382,Facility/Infrastructure Attack
-6.331441,54.471901,Armed Assault
-5.954719,54.586151,Facility/Infrastructure Attack
37.802892,48.01582,Bombing/Explosion
37.802892,48.01582,Hostage Taking (Kidnapping)
-7.308563,54.996889,Bombing/Explosion
12.373075,51.339696000000004,Facility/Infrastructure Attack
12.92137,50.827845,Facility/Infrastructure Attack
37.802892,48.01582,Hostage Taking (Kidnapping)
23.73666,37.986471,Facility/Infrastructure Attack
13.214168,51.103589,Facility/Infrastructure Attack
13.214168,51.103589,Bombing/Explosion
-8.997912,53.290149,Bombing/Explosion
28.86381,47.010453,Assassination
6.863776,51.496334,Facility/Infrastructure Attack
8.901617,41.673761,Facility/Infrastructure Attack
8.901914,41.674685,Facility/Infrastructure Attack
23.736655,37.986472,Facility/Infrastructure Attack
25.188353,62.257094,Facility/Infrastructure Attack
23.713977,38.006772,Unarmed Assault
-6.246099,53.377358,Armed Assault
23.736303,37.984618,Armed Assault
23.736303,37.984618,Armed Assault
9.754008,52.368391,Armed Assault
14.466374,50.088136,Facility/Infrastructure Attack
32.650917,46.689155,Bombing/Explosion
37.504053,47.942581,Bombing/Explosion
-6.812665,54.092971,Bombing/Explosion
17.862651,59.25074,Armed Assault
-1.335668,53.344608,Facility/Infrastructure Attack
48.039451,42.235782,Bombing/Explosion
39.46246,48.670843,Bombing/Explosion
13.716888,43.16117,Bombing/Explosion
37.876594,48.122142,Bombing/Explosion
17.85715,59.247127,Bombing/Explosion
37.96669,48.045956,Bombing/Explosion
-2.148956,53.613527,Unarmed Assault
14.423775,51.182293,Facility/Infrastructure Attack
33.145655,35.166281,Facility/Infrastructure Attack
-5.932749,54.610455,Bombing/Explosion
23.975595,49.52785,Facility/Infrastructure Attack
24.030551,49.843144,Facility/Infrastructure Attack
24.083735,49.878278,Facility/Infrastructure Attack
24.02124,49.816992,Facility/Infrastructure Attack
38.925548,49.273685,Assassination
36.303706,48.890207,Bombing/Explosion
-5.930342,54.612198,Bombing/Explosion
-5.919408,54.579172,Armed Assault
-6.264269,53.393887,Bombing/Explosion
21.716785,39.489144,Assassination
9.731978,52.375906,Armed Assault
-1.184625,54.525683,Facility/Infrastructure Attack
22.414448,40.794359,Facility/Infrastructure Attack
6.892932,52.213409,Armed Assault
39.425538,48.834821,Bombing/Explosion
12.452151,51.728576,Armed Assault
37.493538,55.79352,Hostage Taking (Kidnapping)
38.584998,48.72482,Bombing/Explosion
-6.270189,54.851675,Facility/Infrastructure Attack
-5.897313,54.5866,Bombing/Explosion
-6.000638,54.578116,Bombing/Explosion
-6.017515,54.576533,Bombing/Explosion
-7.307836,54.985581,Bombing/Explosion
30.5234,50.4501,Hostage Taking (Kidnapping)
45.074898,43.279651,Armed Assault
44.89933,43.308266,Facility/Infrastructure Attack
-5.991677,54.548471,Bombing/Explosion
-6.185159,54.612119,Bombing/Explosion
30.47213,50.433648,Facility/Infrastructure Attack
44.767613,43.206463,Bombing/Explosion
21.122523,42.64601,Facility/Infrastructure Attack
13.129041,56.1349,Facility/Infrastructure Attack
12.437561,57.543158,Facility/Infrastructure Attack
12.437561,57.543158,Facility/Infrastructure Attack
12.437561,57.543158,Facility/Infrastructure Attack
-6.656918,54.348038,Bombing/Explosion
13.776259,43.229786,Bombing/Explosion
-8.431952,51.913954,Bombing/Explosion
-5.934137,54.611018,Bombing/Explosion
-7.28227,55.004392,Bombing/Explosion
4.478382,50.897758,Bombing/Explosion
4.376667,50.843889,Bombing/Explosion
32.262292,48.507774,Bombing/Explosion
46.549618,42.443597,Armed Assault
46.549618,42.443597,Armed Assault
23.74712,37.970833,Facility/Infrastructure Attack
-8.624965,52.662898,Bombing/Explosion
-4.251806,55.864237,Armed Assault
-3.657829,40.43821,Facility/Infrastructure Attack
24.531755,64.075055,Facility/Infrastructure Attack
-6.334551,54.463526,Hijacking
-6.334159,54.463539,Armed Assault
-6.334551,54.463526,Armed Assault
-7.34047,54.994257,Armed Assault
47.660307,42.822856,Bombing/Explosion
48.228373,41.833223,Bombing/Explosion
9.984039,53.551151,Facility/Infrastructure Attack
30.549272,50.420631,Assassination
31.28935,51.4982,Bombing/Explosion
33.205052,51.240943,Facility/Infrastructure Attack
-6.744389,54.641816,Facility/Infrastructure Attack
20.689747,42.914814,Armed Assault
44.988795,43.30456,Bombing/Explosion
-7.345719,54.995674,Facility/Infrastructure Attack
38.76499,48.030324,Bombing/Explosion
39.307815,48.574041,Armed Assault
30.5234,50.4501,Facility/Infrastructure Attack
37.80293,48.016084,Hostage Taking (Kidnapping)
17.940871,62.63227,Facility/Infrastructure Attack
12.981193,55.605581,Facility/Infrastructure Attack
43.436556,44.747677,Bombing/Explosion
13.720233,43.159693,Bombing/Explosion
34.641869,46.227617,Bombing/Explosion
-5.902729,54.545364,Facility/Infrastructure Attack
47.116121,42.822145,Armed Assault
46.991736,42.281467,Armed Assault
-5.959678,54.618686,Armed Assault
7.00255,51.470204,Bombing/Explosion
37.674133,48.064335,Bombing/Explosion
-7.343105,54.996092,Armed Assault
1.254696,52.796131,Facility/Infrastructure Attack
46.992379,42.282018,Bombing/Explosion
47.855105,41.882154,Facility/Infrastructure Attack
34.641869,46.227617,Bombing/Explosion
-6.295151,53.380313,Facility/Infrastructure Attack
1.250855,52.79613,Facility/Infrastructure Attack
34.800796,46.175968,Bombing/Explosion
7.734752,48.585075,Armed Assault
23.736655,37.986472,Facility/Infrastructure Attack
-6.00645,54.578318,Facility/Infrastructure Attack
17.941942,62.63227,Facility/Infrastructure Attack
30.723779,46.482203,Bombing/Explosion
22.944446,40.639498,Facility/Infrastructure Attack
46.494561,42.416217,Assassination
-5.932696,54.61304,Hostage Taking (Kidnapping)
7.695292,45.089532,Bombing/Explosion
8.738635,41.919229,Facility/Infrastructure Attack
-6.613185,54.646996,Armed Assault
46.973752,43.186149,Armed Assault
37.482666,47.595435,Bombing/Explosion
45.681486,43.31688,Bombing/Explosion
-5.944521,54.597013,Armed Assault
-5.916809,54.644749,Armed Assault
-5.936661,54.607535,Armed Assault
11.963047,48.047381,Armed Assault
34.634186,47.501507,Bombing/Explosion
-6.607079,54.756379,Facility/Infrastructure Attack
36.230383,49.9935,Bombing/Explosion
39.897805,59.218067,Assassination
-7.345551,55.01875,Armed Assault
-6.04293,55.12578,Bombing/Explosion
-6.161148,54.238104,Facility/Infrastructure Attack
17.034502,51.10908,Bombing/Explosion
28.7924,33.6757,Bombing/Explosion
-5.808628,54.729019,Armed Assault
20.948376,52.179907,Bombing/Explosion
13.666191,43.175693,Bombing/Explosion
46.495558,42.418055,Bombing/Explosion
46.495558,42.418055,Armed Assault
33.861564,44.746091,Hostage Taking (Kidnapping)
20.006499,41.940549,Bombing/Explosion
101.57327,56.148303,Unarmed Assault
2.091969,43.758824,Armed Assault
-5.808628,54.729019,Armed Assault
13.970145,48.485546,Facility/Infrastructure Attack
34.7981,50.9077,Facility/Infrastructure Attack
23.746576,37.952493,Assassination
45.013627,42.978225,Bombing/Explosion
10.327904,44.801485,Bombing/Explosion
45.04861,43.318207,Bombing/Explosion
7.686857,45.070312,Bombing/Explosion
25.037769,60.293352,Facility/Infrastructure Attack
-6.058011,54.516246,Facility/Infrastructure Attack
1.684609,48.969002,Assassination
-1.663084,53.734986,Assassination
-7.308575,54.996612,Bombing/Explosion
48.111067,41.631014,Armed Assault
47.504531,42.975766,Bombing/Explosion
